,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,size,color
24,1.0,True,2018-03-12,A3QY3THQ42WSCQ,B000YFSR5G,Amazon Customer,Waaaay too BIG,One Star,1520812800, X-Large, Charcoal Heather
25,5.0,True,2018-02-08,AGZ5OOZVDO194,B000YFSR5G,Amazon Customer,Comfortable,Five Stars,1518048000, XX-Large, Deep Royal
27,5.0,True,2017-10-25,A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600, X-Large, Navy
28,5.0,True,2017-10-14,A2ON4RYI9Z4SQ,B000YFSR5G,Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200, Medium, Light Steel
29,1.0,True,2018-03-12,A3QY3THQ42WSCQ,B000YFSR4W,Amazon Customer,Waaaay too BIG,One Star,1520812800, X-Large, Charcoal Heather
30,5.0,True,2017-07-30,A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800, X-Large, Light Steel
31,5.0,True,2017-06-16,A1EZN3E9R322YJ,B000YFSR5G,wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200, XXX-Large, Deep Royal
32,3.0,True,2017-04-18,A3T8NHQYBQSV1X,B000YFSR5G,Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600, Medium, Navy
33,5.0,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR5G,jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600, Medium, Charcoal Heather
34,3.0,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR5G,jami,They fit great. But they fade bad,Three Stars,1492041600, Medium, Black
35,4.0,True,2017-04-05,A3T8NHQYBQSV1X,B000YFSR5G,Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400, Medium, Black
36,3.0,True,2017-03-24,A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,Average product.  As described.,Three Stars,1490313600, XX-Large, Deep Royal
37,5.0,True,2018-02-08,AGZ5OOZVDO194,B000YFSR4W,Amazon Customer,Comfortable,Five Stars,1518048000, XX-Large, Deep Royal
38,5.0,True,2017-03-11,A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,comfy fit,Five Stars,1489190400, Large, Charcoal Heather
39,2.0,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200, Medium, Black
40,2.0,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200, Medium, Navy
41,4.0,True,2017-02-21,A1Y01U6OZLZE7I,B000YFSR5G,Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200, X-Large, Charcoal Heather
42,1.0,True,2017-02-08,A21HH0VIBKK80J,B000YFSR5G,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000,,
43,3.0,True,2017-02-01,A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,As described.,Three Stars,1485907200, XXX-Large, Light Steel
44,5.0,True,2017-01-23,A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,Very comfy for wearing at home.,Five Stars,1485129600,,
45,5.0,True,2016-03-08,A3E30OLSMGJEVK,B000YFSR5G,ladybug,So comfortable and soft.,Hanes pants,1457395200,,
54,5.0,True,2017-10-25,A232J1FHOQI5YN,B000YFSR4W,Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600, X-Large, Navy
55,5.0,True,2017-10-14,A2ON4RYI9Z4SQ,B000YFSR4W,Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200, Medium, Light Steel
57,5.0,True,2017-07-30,A232J1FHOQI5YN,B000YFSR4W,Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800, X-Large, Light Steel
58,5.0,True,2017-06-16,A1EZN3E9R322YJ,B000YFSR4W,wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200, XXX-Large, Deep Royal
59,3.0,True,2017-04-18,A3T8NHQYBQSV1X,B000YFSR4W,Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600, Medium, Navy
60,5.0,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR4W,jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600, Medium, Charcoal Heather
61,3.0,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR4W,jami,They fit great. But they fade bad,Three Stars,1492041600, Medium, Black
62,4.0,True,2017-04-05,A3T8NHQYBQSV1X,B000YFSR4W,Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400, Medium, Black
63,3.0,True,2017-03-24,A1G0HYMR02WM2W,B000YFSR4W,Cici Ciconia,Average product.  As described.,Three Stars,1490313600, XX-Large, Deep Royal
64,5.0,True,2017-03-11,A2BFZUQ2XV535H,B000YFSR4W,Amazon Customer,comfy fit,Five Stars,1489190400, Large, Charcoal Heather
65,2.0,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR4W,Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200, Medium, Black
66,2.0,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR4W,Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200, Medium, Navy
67,4.0,True,2017-02-21,A1Y01U6OZLZE7I,B000YFSR4W,Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200, X-Large, Charcoal Heather
68,1.0,True,2017-02-08,A21HH0VIBKK80J,B000YFSR4W,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000,,
69,3.0,True,2017-02-01,A1G0HYMR02WM2W,B000YFSR4W,Cici Ciconia,As described.,Three Stars,1485907200, XXX-Large, Light Steel
152,4.0,True,2016-04-19,A3UMNRR89DIZRM,B001IKJOLW,Amazon Customer,Good light weight shoe...had to add insole for more support.,Four Stars,1461024000, 7 B(M) US, Black/White/Anthracite/Stealth
153,5.0,True,2016-04-18,AZRZ2FB7CFNOE,B001IKJOLW,Catherine Uribe,I love my tennis shoes,Five Stars,1460937600, 8 B(M) US, Black/White/Anthracite/Stealth
154,3.0,True,2016-04-04,A4M7JTCBXRAT3,B001IKJOLW,Micki from FL,"This is a shoe I will wear with black dress pants or jeans when I need comfort and a little style, but I am not impressed.  This is a very flimsy shoe with little support at all.  Not like any Nike I've ever purchased in the past.  It looks nice, but it's not comfortable.","LOOKS GOOD, FEELS ICKY!",1459728000, 9.5 B(M) US, Black/White/Anthracite/Stealth
155,5.0,True,2016-03-31,A2TRI54C8EMCX,B001IKJOLW,Andrea Seo B.,"Love it!! Super comfortable and nice!! Got more than I expected, super flexible great for training. Definetly recommend it.",Love it!! Definetly recommend it,1459382400, 9 B(M) US, Black/Wolf Grey/White/Pink
