overall,reviewerID,asin
1.0,260,1
5.0,324,1
5.0,100,1
5.0,156,1
1.0,260,0
5.0,100,1
5.0,45,1
3.0,269,1
5.0,153,1
3.0,153,1
4.0,269,1
3.0,48,1
5.0,324,0
5.0,117,1
2.0,303,1
2.0,303,1
4.0,88,1
1.0,93,1
3.0,48,1
5.0,117,1
5.0,227,1
5.0,100,0
5.0,156,0
5.0,100,0
5.0,45,0
3.0,269,0
5.0,153,0
3.0,153,0
4.0,269,0
3.0,48,0
5.0,117,0
2.0,303,0
2.0,303,0
4.0,88,0
1.0,93,0
3.0,48,0
4.0,273,3
5.0,385,3
3.0,280,3
5.0,176,3
5.0,85,3
2.0,126,3
4.0,240,3
3.0,185,3
5.0,251,3
5.0,261,3
5.0,82,3
3.0,352,3
5.0,188,3
5.0,122,3
5.0,33,3
5.0,254,3
3.0,199,3
3.0,35,3
5.0,80,3
5.0,135,3
5.0,36,3
5.0,75,3
4.0,289,3
5.0,263,3
5.0,136,3
5.0,95,3
3.0,73,3
5.0,241,3
5.0,326,3
5.0,203,3
5.0,334,3
5.0,275,3
5.0,165,3
4.0,327,3
5.0,158,3
1.0,285,3
5.0,212,3
5.0,170,3
5.0,21,3
5.0,250,3
5.0,271,3
5.0,190,3
1.0,370,3
2.0,179,3
5.0,226,3
5.0,264,3
5.0,14,3
5.0,166,3
5.0,177,3
5.0,281,3
5.0,277,3
5.0,12,3
4.0,365,3
5.0,202,3
5.0,307,3
1.0,102,3
5.0,304,3
3.0,272,3
5.0,22,3
5.0,83,3
5.0,47,3
5.0,125,3
5.0,148,3
2.0,81,3
5.0,27,3
3.0,147,3
5.0,58,3
5.0,40,3
5.0,161,3
3.0,316,3
3.0,97,3
4.0,99,3
5.0,252,3
5.0,252,3
1.0,34,3
5.0,162,3
4.0,16,3
5.0,200,3
5.0,344,3
4.0,257,3
2.0,247,3
5.0,127,3
3.0,3,3
4.0,325,3
5.0,2,3
4.0,238,3
5.0,106,3
5.0,194,3
5.0,192,3
5.0,318,3
5.0,339,3
5.0,131,3
3.0,341,3
5.0,196,3
3.0,149,3
5.0,355,3
5.0,103,3
5.0,137,3
5.0,43,3
5.0,356,3
5.0,276,3
5.0,322,3
5.0,181,3
5.0,323,3
5.0,173,3
5.0,373,3
5.0,348,3
5.0,300,3
5.0,175,3
5.0,62,3
4.0,345,3
1.0,353,3
5.0,157,3
5.0,282,3
4.0,128,3
1.0,183,3
5.0,168,3
5.0,298,3
3.0,184,3
5.0,64,3
5.0,214,3
5.0,89,3
5.0,244,3
4.0,54,3
3.0,294,3
5.0,31,3
5.0,23,3
5.0,209,3
3.0,210,3
5.0,63,3
5.0,70,3
4.0,101,3
5.0,354,3
5.0,347,3
5.0,205,3
5.0,288,3
5.0,57,3
5.0,249,3
3.0,26,3
5.0,234,3
5.0,378,3
4.0,109,3
3.0,314,3
5.0,343,3
5.0,49,3
5.0,94,3
5.0,368,3
5.0,160,3
5.0,218,3
4.0,239,3
5.0,140,3
5.0,312,3
3.0,65,3
5.0,375,3
5.0,274,3
5.0,279,3
5.0,108,3
5.0,292,3
1.0,270,3
5.0,278,3
5.0,232,3
5.0,17,3
4.0,337,3
3.0,236,3
5.0,8,3
5.0,189,3
5.0,364,3
5.0,364,3
4.0,1,3
4.0,113,3
3.0,309,3
5.0,69,3
